plane_id,battery_id,flight_id,event_datetime,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,score_missing,sigma_base_pct,rt_profile,condition_multiplier,measurement_sigma_pct_raw,measurement_sigma_pct,measurement_var_pct2,delta_days,process_var_pct2,latent_soh_filterpy_filter_pct,latent_soh_filterpy_smooth_pct,latent_soh_filterpy_smooth_var_pct2,latent_soh_filterpy_smooth_std_pct,latent_soh_filter_pct,latent_soh_smooth_pct,latent_soh_smooth_var_pct2,latent_soh_smooth_std_pct,_filterpy_pred_var_pct2,_filterpy_pred_state_pct,latent_soh_monotone_pct,residual_pct,standardized_residual,resid_abs_mean_last_5_events,resid_std_last_5_events,resid_max_pos_last_5_events,resid_max_neg_last_5_events,resid_outlier_count_last_5_events,resid_abs_mean_last_30d,resid_std_last_30d,resid_outlier_count_last_30d,condition_multiplier_last_5_events_mean,score_switch_last_5_events_sum,score_observation_instability_last_5_events_mean
166,1,4575,2023-05-16 11:00:00,charge,100.0,0.0,0.0,0,1,15745,3148.7737939999997,19.366211495712925,18.0,21.0,3.0,7.9284852334074305,23.9,24.7,399.97120355668466,404.0,92.91400444585582,77.0,100.0,23.0,-0.16042807240393755,2.5500000000000114,0.0,0.0,0.0,0.5004249859207565,0.5974999999999999,0.1332716050633177,0.0,1.0,0.0,1.3070856144807932,0.5,0.75,0.0,0.55,balanced,2.344184326369565,1.2893013795032608,1.2893013795032608,1.6622980471890114,0.0001,2.5000000000000004e-07,99.95094647450337,96.54535914917038,0.048136210313866945,0.21939965887363394,99.95094647450337,96.54535914917038,0.048136210313866945,0.21939965887363394,100.00000025,97.0,96.54535914917038,3.4546408508296196,2.6794672725477233,3.4546408508296196,0.0,3.4546408508296196,3.4546408508296196,1.0,3.4546408508296196,0.0,1.0,2.344184326369565,0.5,0.0
166,1,4576,2023-05-16 12:44:00,other,100.0,0.0,0.0,0,1,9638,1927.385601,21.98153143805769,0.0,25.0,25.0,39.18631458808882,54.1,70.2,362.91128864909734,401.9,68.76488898111641,29.0,100.0,71.0,-0.8754586013695791,1.7600000000000051,9611.0,9611.0,0.0,6.453239826291262,0.45083333333333336,0.6597582560023899,0.0,1.0,0.0,1.0550917202739183,0.5,0.25,0.0,0.55,balanced,2.3058474851497976,1.2682161168323889,1.2682161168323889,1.6083721189934235,0.07222222222222222,0.00018055555555555557,99.97567683580652,96.54498309197342,0.047966266154485515,0.2190120228537363,99.97567683580652,96.54498309197342,0.047966266154485515,0.2190120228537363,1.6352980761976397,99.95094647450337,96.54498309197342,3.455016908026579,2.724312411875147,3.4548288794280992,0.00018802859847966147,3.455016908026579,3.4546408508296196,2.0,3.4548288794280992,0.00026591259408394234,2.0,2.325015905759681,1.0,0.0
166,1,4577,2023-05-16 13:00:00,charge,97.0,3.0,3.0,1,1,18774,3754.5833190000003,24.59475870885267,0.0,25.0,25.0,19.859816767870463,27.8,28.700000000000003,384.9566954298498,403.9,70.74986683711516,29.0,100.0,71.0,-1.070711622456589,0.8500000000000014,9519.0,9611.0,0.0,0.5006408202492283,0.6950000000000001,0.13331885005960264,0.0,1.0,3.0,0.6391423244913185,1.5,0.75,0.0,0.55,balanced,5.192570237371237,2.8559136305541806,2.8559136305541806,8.156242665185161,0.011111111111111112,2.7777777777777786e-05,99.70658913683495,96.54486556631899,0.04794177385276499,0.2189561002867127,99.70658913683495,96.54486556631899,0.04794177385276499,0.2189561002867127,0.8108894479621415,99.97567683580652,96.54486556631899,0.45513443368101036,0.15936561554653633,2.4549307308457364,1.41406953105097,3.455016908026579,0.45513443368101036,2.0,2.4549307308457364,1.731874405945785,2.0,3.2808673496301997,2.5,1.0
166,1,4578,2023-05-16 14:35:00,other,97.0,0.0,0.0,0,1,11409,2281.582631,23.50258567797353,23.0,25.0,2.0,31.840792356911212,37.3,70.4,365.0436760452274,400.5,66.6214392146551,29.0,100.0,71.0,-0.2382662810062233,1.0900000000000176,0.0,0.0,0.0,5.486243248166033,0.3108333333333333,0.6141138878094984,0.0,1.0,0.0,0.5926532562012534,0.5,0.25,0.0,0.55,balanced,2.078858198650842,1.1433720092579631,1.1433720092579631,1.3072995515545918,0.06597222222222222,0.0001649305555555556,98.7302092265022,96.5441585542954,0.04779824991017034,0.2186281086918385,98.7302092265022,96.5441585542954,0.04779824991017034,0.2186281086918385,0.7377263971163434,99.70658913683495,96.5441585542954,0.45584144570460694,0.39868165567604147,1.955158409560454,1.4996704965937255,3.455016908026579,0.45513443368101036,2.0,1.955158409560454,1.7316703298082543,2.0,2.9803650618853603,3.0,0.75
166,1,4579,2023-05-16 15:00:00,charge,96.0,1.0,1.0,1,1,20922,4184.178628,25.281665232769335,24.0,26.0,2.0,17.670700697830032,27.6,28.7,388.0081588758245,404.5,74.65347481120352,29.0,100.0,71.0,-0.42291272344900105,0.3000000000000256,-16.0,16.0,0.0,0.5006909535160364,0.6900000000000001,0.13332982299483814,0.0,1.0,1.0,0.234582544689813,1.5,0.75,0.0,0.55,balanced,3.4687066926048793,1.9077886809326838,1.9077886809326838,3.6396576510948697,0.017361111111111112,4.3402777777777786e-05,98.4170043743929,96.54395736441285,0.04776364162268398,0.21854894559957042,98.4170043743929,96.54395736441285,0.04776364162268398,0.21854894559957042,0.4716410315252097,98.7302092265022,96.54395736441285,-0.5439573644128473,-0.2851245370356827,1.6729182005309327,1.6728723869316766,3.455016908026579,-0.5439573644128473,2.0,1.6729182005309327,1.8703281874307798,2.0,3.0780333880292643,4.5,0.8
166,1,4580,2023-05-16 19:11:00,other,96.0,0.0,0.0,0,1,11247,2249.382045,26.68969502978572,25.0,29.0,4.0,33.295874455410335,45.5,71.1,368.05402329510093,401.6,69.46439050413444,27.0,100.0,73.0,0.010462345514359164,0.8500000000000085,0.0,0.0,0.0,6.0085998148342,0.37916666666666665,0.6395544719465969,0.0,1.0,0.0,0.42709246910287607,0.5,0.25,0.0,0.55,balanced,2.0735328628428342,1.140443074563559,1.140443074563559,1.3006104063199833,0.17430555555555555,0.00043576388888888896,97.82917207688803,96.54200254416581,0.047427172771243586,0.21777780596572183,97.82917207688803,96.54200254416581,0.047427172771243586,0.21777780596572183,0.4179709568968147,98.4170043743929,96.54200254416581,-0.5420025441658112,-0.4752561142722818,1.090390539198171,1.469014216815421,3.455016908026579,-0.5439573644128473,1.0,1.4844322578034124,1.8610199005201358,2.0,3.023903095323918,4.5,0.8
166,1,4581,2023-05-16 20:00:00,charge,97.0,1.0,1.0,1,1,19540,3907.76897,26.80813715455476,24.0,29.0,5.0,19.09348004094166,27.9,29.1,386.4244472876152,403.9,72.17057318321392,27.0,100.0,73.0,0.3389477993858751,0.960000000000008,25.0,25.0,0.0,0.500748619185453,0.6975,0.1333424441338546,0.0,1.0,1.0,0.547789559877179,1.5,0.75,0.0,0.55,balanced,3.5664238456166957,1.9615331150891828,1.9615331150891828,3.8476121615914733,0.034027777777777775,8.506944444444446e-05,97.76616745284291,96.54165637680583,0.04736759371063337,0.21764097433763105,97.76616745284291,96.54165637680583,0.04736759371063337,0.21764097433763105,0.31640257859163357,97.82917207688803,96.54165637680583,0.45834362319416755,0.23366601341998172,0.49105588223168867,0.4896152557969669,0.45834362319416755,-0.5439573644128473,0.0,1.337848167144949,1.7173139064665492,2.0,3.276018367417298,5.5,1.0
166,1,4582,2023-05-16 21:19:00,other,97.0,0.0,97.0,0,1,13917,2783.582473,23.50901774807789,23.0,24.0,1.0,26.285118919307322,40.5,71.2,367.19669468994755,401.8,66.70122871308472,29.0,100.0,71.0,0.05089961917079833,0.8000000000000185,0.0,0.0,0.0,3.9934208398393087,0.3375,0.5282014656910586,0.0,1.0,0.0,0.4101799238341689,0.5,0.25,0.0,0.55,balanced,2.003084563426674,1.101696509884671,1.101696509884671,1.213735199892065,0.05486111111111111,0.00013715277777777782,97.61738413146996,96.54108193203442,0.047274829352269926,0.2174277566279658,97.61738413146996,96.54108193203442,0.047274829352269926,0.2174277566279658,0.2924978876234325,97.76616745284291,96.54108193203442,0.458918067965584,0.4165557972164448,0.49181260908860336,0.4902330505221383,0.458918067965584,-0.5439573644128473,0.0,1.2279819047475282,1.6025849922176276,2.0,2.638121232628385,4.5,0.4
166,1,4583,2023-05-16 22:00:00,charge,97.0,0.0,97.0,1,1,5727,1145.193014,23.261568011175136,0.0,24.0,24.0,19.64159245678366,27.8,28.9,359.9504277981491,372.7,37.24358302776323,29.0,51.0,22.0,-0.6607263837960539,0.4200000000000088,9528.0,9528.0,0.0,0.5004716946568575,0.6950000000000001,0.13328182993553608,0.0,0.0,0.0,0.3421452767592152,1.5,0.75,0.0,0.55,balanced,2.553456315001979,1.4044009732510885,1.4044009732510885,1.9723420936686045,0.02847222222222222,7.118055555555557e-05,97.55146366198852,96.5407568888206,0.04723218560434203,0.21732967032676884,97.55146366198852,96.5407568888206,0.04723218560434203,0.21732967032676884,0.23576842093966105,97.61738413146996,96.5407568888206,0.4592431111794042,0.327002843152614,0.4924929421835628,0.49078753250605023,0.4592431111794042,-0.5439573644128473,0.0,1.142566483239959,1.5082164157825542,2.0,2.7330408558986123,5.5,0.4
166,1,4584,2023-05-17 11:30:00,charge,96.0,1.0,1.0,0,0,17948,3589.3697740000002,19.024570982839315,18.0,21.0,3.0,14.088366391798528,24.6,25.4,395.1971751727212,403.9,83.54880766659238,51.0,100.0,49.0,-0.8120169378203699,1.8500000000000085,-28.0,28.0,0.0,0.5003652666451124,0.615,0.13325853162844958,0.0,1.0,1.0,1.0874033875640783,0.0,0.75,0.0,0.55,balanced,2.787024428920603,1.5328634359063318,1.5328634359063318,2.349670313138565,0.5625,0.0014062500000000004,97.42306642251674,96.53400787000362,0.046449439501083656,0.21552132029357016,97.42306642251674,96.53400787000362,0.046449439501083656,0.21552132029357016,0.2120007731910501,97.55146366198852,96.53400787000362,-0.5340078700036202,-0.34837276269681444,0.4905030433017174,0.48835656908400016,0.4592431111794042,-0.5420025441658112,0.0,1.081710621916325,1.4926368233509866,2.0,2.596704403161757,4.0,0.4
