model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,752,752,2.6702127659574466,5.979797548697134,0.6791087926734289,2.6702127659574466,5.979797548697134,-0.007895378509043205
ridge_raw_only,train,752,752,2.9735589440763386,5.197469746474889,0.7575798052781864,2.9735589440763386,5.197469746474889,0.23857622665017664
ridge_raw_plus_latent,train,752,752,2.983844973778101,5.157465579932292,0.7612971896861589,2.983844973778101,5.157465579932292,0.2502522541616564
elastic_raw_plus_latent_plus_history,train,752,752,2.7636716990463768,5.692078678462137,0.7092453664172098,2.7636716990463768,5.692078678462137,0.08676135469817625
ridge_raw_plus_latent_plus_history,train,752,752,2.8202190601814325,4.46554534320624,0.8210491099744774,2.8202190601814325,4.46554534320624,0.4379285847703269
gbdt_raw_plus_latent_plus_history,train,752,752,0.3301846131837521,0.4565017135579095,0.9981298791174533,0.3301846131837521,0.4565017135579095,0.9941260896162426
random_forest_raw_plus_latent_plus_history,train,752,752,1.089662457674379,2.455720767895626,0.945881864996195,1.089662457674379,2.455720767895626,0.8300189693002319
gam_spline_raw_plus_latent_plus_history,train,752,752,2.097518700969375,3.159682005574313,0.9104075094931449,2.097518700969375,3.159682005574313,0.7185966612071224
lstm_sequence,train,752,752,12.236624037965814,14.558109001777499,-0.9019311401826453,12.236624037965814,14.558109001777499,-4.973824033394736
gru_sequence,train,752,752,12.230334839922316,14.550613423729901,-0.8999731381829827,12.230334839922316,14.550613423729901,-4.967674094968524
physics_hybrid_nn,train,752,752,1.831862343118546,3.949336760955347,0.8600305709581956,1.831862343118546,3.949336760955347,0.5603664499282694
physics_informed_pinn,train,752,752,2.8801388689812195,5.766552795225722,0.7015872322794474,2.8801388689812195,5.766552795225722,0.06270772583823081
naive_zero_delta,valid,166,166,0.3855421686746988,0.7761505257063329,0.8182853139504335,0.3855421686746988,0.7761505257063329,-0.0021733880705143704
ridge_raw_only,valid,166,166,1.1529073635055251,1.4340323227536105,0.3796796955550018,1.1529073635055251,1.4340323227536105,-2.42112415187512
ridge_raw_plus_latent,valid,166,166,1.218232793739241,1.4938134389832562,0.3268825637155258,1.218232793739241,1.4938134389832562,-2.7123052426623575
