progress,health_pct
0.0,97.40866528778979
0.005,96.8320813852324
0.01,96.8320813852324
0.015,96.52875381180387
0.02,95.4699397737982
0.025,94.20965207066422
0.03,92.25661712923973
0.035,91.45292579139272
0.04,90.08897591349256
0.045,87.52853219972006
0.05,80.44440711687612
0.055,79.9993704484515
0.06,77.77610131832762
0.065,77.77610131832762
0.07,77.77610131832762
0.075,77.77610131832762
0.08,77.77610131832762
0.085,77.74808035826806
0.09,76.7516755016068
0.095,75.86985116605995
0.1,75.09119754527373
0.105,74.26541471902779
0.11,71.10472410006908
0.115,71.10472410006908
0.12,71.10472410006908
0.125,71.10472410006908
0.13,71.10472410006908
0.135,71.10472410006908
0.14,63.477910866577744
0.145,63.354294203112794
0.15,63.354294203112794
0.155,63.354294203112794
0.16,63.354294203112794
0.165,63.354294203112794
0.17,63.354294203112794
0.17500000000000002,63.354294203112794
0.18,63.343842242933
0.185,63.33129002352642
0.19,63.33129002352642
0.195,63.33129002352642
0.2,61.98591058319689
0.20500000000000002,60.88850206425472
0.21,59.619747886307
0.215,58.419505711678866
0.22,58.39542754880765
0.225,58.39542754880765
0.23,57.535401031822865
0.23500000000000001,56.702752056378635
0.24,56.702752056378635
0.245,56.702752056378635
0.25,56.702752056378635
0.255,56.702752056378635
0.26,56.702752056378635
0.265,56.702752056378635
0.27,51.50457421745527
0.275,51.50457421745527
0.28,51.50457421745527
0.28500000000000003,51.50457421745527
0.29,50.86614373271935
0.295,50.86614373271935
0.3,50.84950938089904
0.305,50.75681907603364
0.31,48.73255398959142
0.315,48.73255398959142
0.32,48.73255398959142
0.325,48.210108321484654
0.33,48.210108321484654
0.335,48.15711136313092
0.34,48.15711136313092
0.34500000000000003,48.15711136313092
0.35000000000000003,48.15711136313092
0.355,46.31215237780446
0.36,46.31215237780446
0.365,46.31215237780446
0.37,46.31215237780446
0.375,46.31215237780446
0.38,45.42603580314503
0.385,43.15718402301889
0.39,43.15718402301889
0.395,43.15718402301889
0.4,43.15718402301889
0.405,43.15718402301889
0.41000000000000003,43.15718402301889
0.41500000000000004,42.10733057959554
0.42,40.484829803395854
0.425,39.27482922453506
0.43,39.27482922453506
0.435,39.27482922453506
0.44,39.27482922453506
0.445,39.053620050034525
0.45,38.660245056203
0.455,38.660245056203
0.46,38.20850425192818
0.465,37.688199635359815
0.47000000000000003,37.688199635359815
0.47500000000000003,37.688199635359815
0.48,37.543966835452345
0.485,37.543966835452345
0.49,36.073376834994676
0.495,34.768239503454886
0.5,34.75263450810643
0.505,34.75263450810643
0.51,34.75263450810643
0.515,34.75263450810643
0.52,34.75263450810643
0.525,34.75263450810643
0.53,34.75263450810643
0.535,30.777073700721363
0.54,30.457428402476385
0.545,30.14740493106754
0.55,30.14740493106754
0.555,30.14740493106754
0.56,29.716686291408422
0.5650000000000001,29.716686291408422
0.5700000000000001,29.716686291408422
0.5750000000000001,28.742460080104948
0.58,28.742460080104948
0.585,28.742460080104948
0.59,28.742460080104948
0.595,28.742460080104948
0.6,26.876055316050145
0.605,26.822738877156013
0.61,26.733108675914043
0.615,26.52417629709206
0.62,25.404682417274294
0.625,23.40038655321888
0.63,23.40038655321888
0.635,23.40038655321888
0.64,23.40038655321888
0.645,23.40038655321888
0.65,23.40038655321888
0.655,23.40038655321888
0.66,23.40038655321888
0.665,23.40038655321888
0.67,23.40038655321888
0.675,23.40038655321888
0.68,19.18402724298757
0.685,19.18402724298757
0.6900000000000001,19.18402724298757
0.6950000000000001,19.18402724298757
0.7000000000000001,19.18402724298757
0.705,19.18402724298757
0.71,19.18402724298757
0.715,19.18402724298757
0.72,19.18402724298757
0.725,19.18402724298757
0.73,19.18402724298757
0.735,19.18402724298757
0.74,14.335528040825261
0.745,14.335528040825261
0.75,14.335528040825261
0.755,14.335528040825261
0.76,14.071147555747404
0.765,14.071147555747404
0.77,14.071147555747404
0.775,14.071147555747404
0.78,14.071147555747404
0.785,14.071147555747404
0.79,14.071147555747404
0.795,14.071147555747404
0.8,14.071147555747404
0.805,11.920053371343045
0.81,11.920053371343045
0.8150000000000001,11.920053371343045
0.8200000000000001,11.920053371343045
0.8250000000000001,11.920053371343045
0.8300000000000001,11.920053371343045
0.835,11.576633006624656
0.84,11.362879566713792
0.845,11.362879566713792
0.85,11.362879566713792
0.855,11.362879566713792
0.86,11.362879566713792
0.865,11.362879566713792
0.87,9.971537206012332
0.875,7.901493614705036
0.88,6.6684813586498075
0.885,6.6684813586498075
0.89,6.6684813586498075
0.895,6.6684813586498075
0.9,6.6684813586498075
0.905,6.6684813586498075
0.91,6.6684813586498075
0.915,6.6684813586498075
0.92,6.6684813586498075
0.925,6.6684813586498075
0.93,6.6684813586498075
0.935,6.3435986845127434
0.9400000000000001,5.368950662101572
0.9450000000000001,2.2223850125646623
0.9500000000000001,1.9856905514412304
0.9550000000000001,1.845262576067905
0.96,0.7065343105558242
0.965,0.09723094394328696
0.97,0.08616850716808591
0.975,0.07510607039288486
0.98,0.06404363361768381
0.985,0.052981196842482765
0.99,0.041918760067281714
0.995,0.030856323292080663
1.0,0.01979388651687962
